item,qty_or_basis,unit_cost,amount
Engineered Fink trusses 32ft 3:12,22 ea,220,4840
Truss-plant engineering stamp,1,850,850
Truss freight,1,375,375
PT 2x10 sleepers isolation through-bolts,lot,980,980
Bracing ties hangers,lot,810,810
2x4 purlins,lot,380,380
26ga painted R-panel ~1500 sf,1500 sf,2.20,3291
Ridge eave rake closures screws,lot,980,980
6in gutter both eaves,lot,672,672
Labor lull set metal flash cleanup,lot,8200,8200
DIRECT_COST,,,21378
CONTAINER_DELIVERED_CASH_ALREADY_QUOTED,,,4400
STRUCTURE_COMPLETE_CASH_BID,,,27850
PROJECT_TOTAL_COMPLETE_CASH,,,32250
